x_albumin_before_hydrolysis_LDA,y_albumin_before_hydrolysis_LDA,x_albumin_after_hydrolysis_LDA,y_albumin_after_hydrolysis_LDA,x_fibrinogen_before_hydrolysis_LDA,y_fibrinogen_before_hydrolysis_LDA,x_fibrinogen_after_hydrolysis_LDA,y_fibrinogen_after_hydrolysis_LDA,x_fibrinogen&albumin_before_hydrolysis_LDA,y_fibrinogen&albumin_before_hydrolysis_LDA,x_fibrinogen&albumin_after_hydrolysis_LDA,y_fibrinogen&albumin_after_hydrolysis_LDA
2.0,0.3720241746557536,2.0,1.0,2.0,0.18261566803465887,2.0,0.2529787958400587,2,0.2102583739344468,2.0,0.3237658643725469
3.0,0.9893673577884105,3.0,1.0,3.0,0.29950241386617443,3.0,0.6301727103049276,3,0.27459972545682165,3.0,0.46922259182431075
4.0,0.9840510366826156,4.0,1.0,4.0,0.32929881122178717,4.0,0.7452006676249411,4,0.31997037218849,4.0,0.7138413432880293
5.0,0.9840510366826156,5.0,0.9820004556846662,5.0,0.4632033932724253,5.0,0.8224245646758186,5,0.3600504892914073,5.0,0.7600482199517197
6.0,0.9411881977671451,6.0,0.9880003037897774,6.0,0.5126916487189004,6.0,0.8295235942807861,6,0.35806712769132604,6.0,0.8458948188358025
7.0,0.94650451887294,7.0,0.9700007594744436,7.0,0.7031227012235759,7.0,0.8568160784099573,7,0.4030781037227153,7.0,0.8854424149199839
8.0,0.9787347155768208,8.0,0.9464570517202097,8.0,0.8151966189156531,8.0,0.8655966212657389,8,0.4284873626836609,8.0,0.8620988757130391
9.0,0.9415204678362573,9.0,0.9644565960355433,9.0,0.8460926058813023,9.0,0.8954243756837448,9,0.42945875554919527,9.0,0.8915712719769407
10.0,0.9624534821903243,10.0,0.9044581149844307,10.0,0.8780328917464278,10.0,0.8786277548221741,10,0.4723688595413807,10.0,0.9090198004368172
11.0,0.9461722488038278,11.0,0.9401534138376244,11.0,0.9323210948660139,11.0,0.9342852127290886,11,0.5290680651424181,11.0,0.9029620299256874
12.0,0.9522594364699628,12.0,0.88782562466773,12.0,0.9358195055932957,12.0,0.9586950095184416,12,0.5493278072276894,12.0,0.8926350307514903
13.0,0.9574694311536417,13.0,0.962659173185489,13.0,0.9416232185148118,13.0,0.9563494360579228,13,0.590609915494271,13.0,0.9108114550620902
14.0,0.9518208399787347,14.0,0.9583048530416951,14.0,0.9369823251967763,14.0,0.9541656213597733,14,0.7809750020974567,14.0,0.9193998207176411
15.0,0.9458399787347156,15.0,0.9347611452874611,15.0,0.9533532741003085,15.0,0.9609620295874347,15,0.8379568243480284,15.0,0.9189246299910857
16.0,0.9415204678362573,16.0,0.9576339839497734,16.0,0.9455036595214954,16.0,0.9849552666676865,16,0.8392810812865407,16.0,0.9283713421946
17.0,0.9461722488038278,17.0,0.9160907318802055,17.0,0.9517195138661656,17.0,0.9907834808558225,17,0.9085553132852296,17.0,0.9377729301481563
18.0,0.9095029239766083,18.0,0.9523050049365839,18.0,0.9534025400168687,18.0,0.9850151653467898,18,0.9385086289884178,18.0,0.9431258210144572
19.0,0.8995215311004785,19.0,0.9331156173261436,19.0,0.9468735080641123,19.0,0.9907834808558225,19,0.942981998615401,19.0,0.9478956146006365
20.0,0.9048378522062733,20.0,0.9524568998253209,20.0,0.960877922678492,20.0,0.99540239515314,20,0.9491455295234823,20.0,0.9343918687817145
21.0,0.8623072833599149,21.0,0.8896230475177843,21.0,0.9634813384110079,21.0,0.99540239515314,21,0.9430747971664468,21.0,0.9559830735995899
22.0,0.8991892610313663,22.0,0.9337864864180654,22.0,0.9658618870011717,22.0,0.998850598788285,22,0.9485083818008432,22.0,0.9501294179259817
23.0,0.8619750132908028,23.0,0.8623325991747044,23.0,0.9627202654433279,23.0,0.99770119757657,23,0.9451758601949476,23.0,0.9540153079182401
24.0,0.8716241360978203,24.0,0.8610541505278347,24.0,0.9727819995931091,24.0,0.9965304869143974,24,0.9443050600110746,24.0,0.9537972700347076
25.0,0.8988569909622541,25.0,0.8676615781878939,25.0,0.9798253394769028,25.0,0.9977064340285596,25,0.9484228656168397,25.0,0.94981177223713
26.0,0.8605729066255382,26.0,0.8904347114873431,26.0,0.9713239249621336,26.0,0.99770119757657,26,0.9438435640613297,26.0,0.9882199778622758
27.0,0.8301834130781499,27.0,0.9097870939976203,27.0,0.9642455964217401,27.0,0.998850598788285,27,0.9533732996358029,27.0,0.9901537540208971
28.0,0.8985380116959064,28.0,0.8547508047508048,28.0,0.9721221186809808,28.0,0.9965304869143974,28,0.9485440962298411,28.0,0.9912013060874918
29.0,0.7804958199695042,29.0,0.9044695071010861,29.0,0.9813233590152993,29.0,0.9942316844909674,29,0.9508055924582058,29.0,0.9921848863195365
30.0,0.7659356725146199,30.0,0.8637912769491717,30.0,0.9797845985410109,30.0,0.99770119757657,30,0.9419802856801075,30.0,0.9901900549256927
31.0,0.807695374800638,31.0,0.8464342674868991,31.0,0.9726855145832612,31.0,0.996551796364855,31,0.9396578432875885,31.0,0.9950978528333434
32.0,0.8311537877327351,32.0,0.8505189742031847,32.0,0.9687679176960303,32.0,0.998850598788285,32,0.9451115474691811,32.0,0.9843168108989031
33.0,0.824534821903243,33.0,0.8238655107076159,33.0,0.9679203335711585,33.0,0.99310359272971,33,0.9382804746038323,33.0,0.993139613731903
34.0,0.880190131505921,34.0,0.8497481076428445,34.0,0.9766592582670909,34.0,0.996551796364855,34,0.9383172127534064,34.0,0.9852715383112696
35.0,0.8491360978203084,35.0,0.8206602364497101,35.0,0.9790123119798473,35.0,0.9954181045091088,35,0.9436230026114749,35.0,0.9980417608985597
36.0,0.8514486975013291,36.0,0.8044581149844308,36.0,0.9875419697704744,36.0,0.996551796364855,36,0.9484433911550736,36.0,0.9892005223528636
37.0,0.7967542691226902,37.0,0.7789359763043974,37.0,0.9829321964034707,37.0,0.9977064340285596,37,0.9517628755545176,37.0,0.9910909219258277
38.0,0.8049774786616892,38.0,0.724177868914711,38.0,0.9820198841470613,38.0,1.0,38,0.9545119987061763,38.0,0.9897344865050647
39.0,0.8071504518872941,39.0,0.7810552021078336,39.0,0.9868440072092978,39.0,1.0,39,0.9502849805102416,39.0,0.9941032625069185
40.0,0.7464030121924858,40.0,0.8556618819776715,40.0,0.9751343151879462,40.0,0.99770119757657,40,0.9503981275871963,40.0,0.9890336698598773
41.0,0.7651648059542796,41.0,1.0,41.0,0.9756442156517375,41.0,0.9988558352402745,41,0.9605107091608027,41.0,0.9910624231284769
42.0,0.7409889817784555,,,42.0,0.9914341904615089,42.0,0.9988558352402745,42,0.9601202849315831,42.0,0.9901187058104906
43.0,0.7005849413744151,,,43.0,0.9883558344272911,43.0,0.99770119757657,43,0.9571831708299471,43.0,0.9950823820576387
44.0,0.774375332270069,,,44.0,0.9867363394708214,44.0,0.9977064340285596,44,0.9505564803110987,44.0,0.9919909599690669
45.0,0.6636763820974347,,,45.0,0.9866880424817334,45.0,0.9977064340285596,45,0.9608168412335909,45.0,0.9921119931223374
46.0,0.718447196078775,,,46.0,0.9813430480965963,46.0,0.9977116704805492,46,0.9702411498201885,46.0,0.9940967130938627
47.0,0.7965712649923177,,,47.0,0.9906666915874773,47.0,0.9988558352402745,47,0.9640028490228993,47.0,0.996072511702739
48.0,0.9893673577884105,,,48.0,0.9874487497892636,48.0,0.9965622692688342,48,0.977011959888237,48.0,0.9930911126730576
,,,,49.0,0.9905865843844752,49.0,1.0,49,0.9606401479503666,49.0,0.9930801025786774
,,,,50.0,0.9883872313487737,50.0,1.0,50,0.9701433683682256,50.0,0.994008349120959
,,,,51.0,0.9837154026411166,51.0,1.0,51,0.975577440270817,51.0,0.9980197407097992
,,,,52.0,0.9868526021037801,52.0,1.0,52,0.971560911206764,52.0,0.9949984787660594
,,,,53.0,0.9884048776279784,53.0,0.998850598788285,53,0.9667558161495317,53.0,0.9940922524125383
,,,,54.0,0.9851960560502819,54.0,0.9977064340285596,54,0.9755760529251413,54.0,0.993049161027268
,,,,55.0,0.9906898350363228,55.0,1.0,55,0.9741654982609098,55.0,0.9919799498746867
,,,,56.0,0.990714279554742,56.0,1.0,56,0.9735765880462781,56.0,0.9959205369980592
,,,,57.0,0.9860509568610117,57.0,1.0,57,0.9722208408735296,57.0,0.990983341620996
,,,,58.0,0.993031704960463,58.0,0.9988558352402745,58,0.975613420231669,58.0,0.9990098703548996
,,,,59.0,0.988374276675606,59.0,0.9977116704805492,59,0.9715209911172706,59.0,0.9980197407097992
,,,,60.0,0.9891615393867407,60.0,0.998850598788285,60,0.9789090403989384,60.0,0.9895521632363737
,,,,61.0,0.9853009058675379,61.0,0.9977064340285596,61,0.9777575537212917,61.0,0.9970296110646988
,,,,62.0,0.9852443516081457,62.0,0.998850598788285,62,0.9733838621725187,62.0,0.9900416422302756
,,,,63.0,0.9938057706390987,63.0,0.9977116704805492,63,0.97288599347344,63.0,0.9889105479748754
,,,,64.0,0.991476765920106,64.0,0.9977145380614006,64,0.9716305674241454,64.0,0.9970296110646988
,,,,65.0,0.9899593073857932,65.0,1.0,65,0.9769734988157733,65.0,0.9940857029994825
,,,,66.0,0.9937992214319286,66.0,0.9988558352402745,66,0.9701392172564731,66.0,0.9970296110646988
,,,,67.0,0.9868503598829932,67.0,0.9988558352402745,67,0.9782006139092198,67.0,0.9950802933259074
,,,,68.0,0.9906941948150082,68.0,1.0,68,0.9837814099836703,68.0,0.9900151613601906
,,,,69.0,0.9898818958590266,69.0,0.9977064340285596,69,0.98297744727587,69.0,0.9980197407097992
,,,,70.0,0.9898042632743578,70.0,0.998850598788285,70,0.977532668011047,70.0,0.9921119931223374
,,,,71.0,0.9922493846619919,71.0,0.9988558352402745,71,0.9817307207169225,71.0,0.9919909599690669
,,,,72.0,0.9945840171603793,72.0,0.9988494253536655,72,0.9783303186348561,72.0,0.9890714440422043
,,,,73.0,0.9953558934105303,73.0,0.99770526059394,73,0.976022714054867,73.0,0.9939712192592678
,,,,74.0,0.989689627940231,74.0,0.9988558352402745,74,0.9789661661643578,74.0,0.9970296110646988
,,,,75.0,0.9914681710256237,75.0,0.9942582303934147,75,0.9761712918877186,75.0,0.9930801025786774
,,,,76.0,0.9899507124913108,76.0,1.0,76,0.980963954731464,76.0,0.9940812423181581
