x_albumin_before_hydrolysis_RandomForest,y_albumin_before_hydrolysis_RandomForest,x_albumin_after_hydrolysis_RandomForest,y_albumin_after_hydrolysis_RandomForest,x_fibrinogen_before_hydrolysis_RandomForest,y_fibrinogen_before_hydrolysis_RandomForest,x_fibrinogen_after_hydrolysis_RandomForest,y_fibrinogen_after_hydrolysis_RandomForest,x_fibrinogen&albumin_before_hydrolysis_RandomForest,y_fibrinogen&albumin_before_hydrolysis_RandomForest,x_fibrinogen&albumin_after_hydrolysis_RandomForest,y_fibrinogen&albumin_after_hydrolysis_RandomForest
2.0,0.45297232007758326,2.0,1.0,2.0,0.24803231143098542,2.0,0.32963422553033667,2,0.26049266903795504,2.0,0.3780625093046703
3.0,0.9837187666135034,3.0,0.9941520467836257,3.0,0.282581133171861,3.0,0.6855718754098611,3,0.295136959772379,3.0,0.5641814802147748
4.0,0.9572434875066455,4.0,0.9824561403508771,4.0,0.34247364944860387,4.0,0.7930751054746503,4,0.40022800306016004,4.0,0.7847148501549167
5.0,0.9893673577884105,5.0,0.9941520467836257,5.0,0.4885689936083614,5.0,0.8423796688326687,5,0.47652925402459073,5.0,0.8484987181977817
6.0,0.9677698032961191,6.0,0.9763043973570289,6.0,0.571970484933263,6.0,0.8644891367276591,6,0.5058059852528166,6.0,0.8573640152675587
7.0,0.9627857522594365,7.0,0.9941520467836257,7.0,0.6831268814512812,7.0,0.8408898328147579,7,0.49048952503146026,7.0,0.8533012454056388
8.0,0.9674375332270069,8.0,0.9467608414976836,8.0,0.7710640624036724,8.0,0.851003025306534,8,0.4798577774932202,8.0,0.8558073279313988
9.0,0.9681020733652312,9.0,0.9464684438368649,9.0,0.7993684306722556,9.0,0.890477155216386,9,0.5198710675908139,9.0,0.8490402851116929
10.0,0.9514885699096225,10.0,0.9587719298245614,10.0,0.8693061671526165,10.0,0.9213659647617939,10,0.5606674637096796,10.0,0.8643632149338706
11.0,0.9677698032961191,11.0,0.9824561403508771,11.0,0.9230616248035896,11.0,0.9392068404870452,11,0.6343099010759884,11.0,0.8769731438878934
12.0,0.9893673577884105,12.0,0.9470760233918128,12.0,0.9225993792520195,12.0,0.9416845244956898,12,0.6449316047365744,12.0,0.8765349468894057
13.0,0.9514885699096225,13.0,0.9824561403508771,13.0,0.9188037339178271,13.0,0.9536364841517233,13,0.7310167482262065,13.0,0.8618343678590822
14.0,0.9621212121212122,14.0,0.9643274853801169,14.0,0.9434535705168527,14.0,0.9667014306331652,14,0.8168192148005355,14.0,0.8820776346250444
15.0,0.9677698032961191,15.0,0.9763157894736842,15.0,0.9526246164190425,15.0,0.9631701939369214,15,0.8547353128107503,15.0,0.8649786582846175
16.0,0.9734183944710261,16.0,0.9763157894736842,16.0,0.952666574417915,16.0,0.9908053330197916,16,0.8718998134423612,16.0,0.9108127389164875
17.0,1.0,17.0,0.9883040935672515,17.0,0.9688136111651648,17.0,0.9793445051669747,17,0.912161031946531,17.0,0.9254909621013415
18.0,0.9840510366826156,18.0,0.9529239766081871,18.0,0.9595651106183202,18.0,0.9885170035003408,18,0.9479017894391278,18.0,0.9405704892875448
19.0,0.9840510366826156,19.0,0.9821637426900585,19.0,0.9537923809246014,19.0,0.9804673604762424,19,0.9550333288452819,19.0,0.9456945445262724
20.0,0.9946836788942052,20.0,0.9883040935672515,20.0,0.9628115715781221,20.0,0.9816416134441727,20,0.9702632983081034,20.0,0.9467444492984124
21.0,0.9734183944710261,21.0,0.9824561403508771,21.0,0.9696704523874773,21.0,0.9862194459176938,21,0.9598676218211935,21.0,0.9319178992871233
22.0,0.9946836788942052,22.0,0.9824561403508771,22.0,0.9649499814466697,22.0,0.9931064823124606,22,0.962654830329185,22.0,0.9339489973667596
23.0,0.9893673577884105,23.0,0.9941520467836257,23.0,0.9658421963224001,23.0,0.9839172680362411,23,0.9621715509235536,23.0,0.9477524300176794
24.0,0.9840510366826156,24.0,0.9941520467836257,24.0,0.9681914355829048,24.0,0.9839017723820516,24,0.9579897945594822,24.0,0.9576035322743931
25.0,0.9734183944710261,25.0,0.9821637426900585,25.0,0.9697566428685915,25.0,0.9896745087448968,25,0.9582698336418286,25.0,0.9503262711797071
26.0,0.9734183944710261,26.0,0.9883040935672515,26.0,0.9758856492070991,26.0,0.9919476496199913,26,0.9560610267289665,26.0,0.9774548923578057
27.0,0.9893673577884105,27.0,0.9643274853801169,27.0,0.9744380806999453,27.0,0.9861394626971955,27,0.9497646406217753,27.0,0.9813075232776278
28.0,0.9787347155768208,28.0,0.9824561403508771,28.0,0.9727154362027499,28.0,0.9897048100270489,28,0.9566596051833464,28.0,0.9882642306531931
29.0,0.9840510366826156,29.0,0.9824561403508771,29.0,0.9767300124349438,29.0,0.9839515269266649,29,0.9571440673957795,29.0,0.9891002833446663
30.0,0.9893673577884105,30.0,0.9824561403508771,30.0,0.9821142312465085,30.0,0.99060261805558,30,0.9580849716073936,30.0,0.9814040268675139
31.0,0.9787347155768208,31.0,0.9763157894736842,31.0,0.971330788743928,31.0,0.9919663805701053,31,0.9578678781060335,31.0,0.9892015301900617
32.0,0.9840510366826156,32.0,0.9941520467836257,32.0,0.9736133000182929,32.0,0.9907982484082762,32,0.9535871042652743,32.0,0.9853137731749211
33.0,0.9627857522594365,33.0,0.9526315789473684,33.0,0.9742876470424264,33.0,0.9918631540766739,33,0.9595675787022698,33.0,0.9843484604949672
