x_fibrinogen_before_hydrolysis_RandomForest,y_fibrinogen_before_hydrolysis_RandomForest,x_fibrinogen_after_hydrolysis_RandomForest,y_fibrinogen_after_hydrolysis_RandomForest
2,0.3653052151534982,2,0.4282129823084191
3,0.4334197954282474,3,0.553875137043765
4,0.4585080236837575,4,0.8440748214511773
5,0.5219862187637123,5,0.8596625849319773
6,0.7402685354522395,6,0.9135102849833883
7,0.7300983305754791,7,0.9092811419851257
8,0.7396256701700872,8,0.9751004461775197
9,0.8330343291615263,9,0.9558610774677256
10,0.8856442349566734,10,0.9789165897199138
11,0.9468372762433732,11,0.9912060853889109
12,0.944468013130651,12,0.9894473024666931
13,0.9472337142697254,13,0.9894473024666931
14,0.9789077958053027,14,0.9912820328332794
15,0.9734471234396846,15,0.9929648683111287
16,0.970020079438362,16,0.9946970030072523
17,0.9629677596436599,17,0.9912060853889109
18,0.9718416189330317,18,0.9894473024666931
19,0.9753325365513731,19,0.9894473024666931
20,0.9648411299380828,20,0.9894473024666931
21,0.9737069484148853,21,0.9929648683111287
22,0.9701365321863937,22,0.9911034897184482
23,0.9468174689781338,23,0.9877808556478916
24,0.95719257175995,24,0.9842596459481923
25,0.9682795505510187,25,0.979009945407633
26,0.9525113647783696,26,0.9789749493350601
27,0.9577063188897325,27,0.9824881182221903
28,0.9579856072930866,28,0.9841841445719562
29,0.9367042875895099,29,0.9876929165017808
30,0.9560293610155106,30,0.9824121707778217
31,0.9559523012973573,31,0.9877644669888437
32,0.9577217898547539,32,0.9841709537000396
33,0.9419527739660081,33,0.9858004927257005
34,0.9525794816653542,34,0.9824925151794958
35,0.9383286765558234,35,0.979009945407633
36,0.9472403763262489,36,0.9788767506219029
37,0.9243812615003751,37,0.9755497195940409
38,0.9364107887299363,38,0.9684073850222159
39,0.9343664032741688,39,0.9772281581145847
40,0.9262434088705246,40,0.9771895181867482
41,0.933602213934624,41,0.9718105737496319
42,0.9422098267760006,42,0.966828554640189
43,0.929744836862746,43,0.9807786345182468
44,0.9204695735035584,44,0.9789749493350601
45,0.9295008723528536,45,0.9597667747252235
46,0.9142045930643957,46,0.9649010421020539
47,0.9244730803146968,47,0.9596277735568283
48,0.9401468850222313,48,0.9702829178440403
49,0.9159807309335121,49,0.9717478171771801
50,0.9239542236772154,50,0.9682160971036006
51,0.9133771789682835,51,0.980653387855604
52,0.900024470704806,52,0.977157806797696
53,0.9265023369386781,53,0.9720568190341695
54,0.9145723166388978,54,0.963220384827033
55,0.9244945570129238,55,0.9580495630357126
56,0.9298358098855439,56,0.9631582944602335
57,0.9108103204517682,57,0.9668095011585316
58,0.9299012469560323,58,0.9538523498601713
59,0.9293975554423586,59,0.9414449097217905
60,0.8976972449983623,60,0.9616878858960035
61,0.9265450511144839,61,0.9613438324209059
62,0.8992079174306009,62,0.9629001600457701
63,0.8930962256641848,63,0.9542039268587433
64,0.898775315341971,64,0.9562126544662978
65,0.905404789808726,65,0.9597210730174719
66,0.9138943080714659,66,0.9508652268384754
67,0.9118637335189114,67,0.9562364177322626
68,0.913754210304713,68,0.9368902325728703
69,0.8995134909694495,69,0.9542084877264932
70,0.9053451574170521,70,0.95044345374382
71,0.9083567864132649,71,0.9522719147914861
72,0.8881651792952457,72,0.9631586478388839
73,0.9143737866729557,73,0.9478276105398833
74,0.8803239544424517,74,0.9594900328972351
75,0.887652125632728,75,0.9614171555943134
76,0.8876893365409211,76,0.9474840859400657
77,0.884063806021851,77,0.9419125756962542
78,0.88501059372626,78,0.9578787479064488
79,0.8840852181441338,79,0.9442635898856543
80,0.9047193747723677,80,0.9297660320848254
81,0.8697493988550375,81,0.9354604509672487
82,0.8800220925721277,82,0.9328698540609898
83,0.8918157516499009,83,0.9479601449130535
84,0.8838959150412842,84,0.929490997515312
85,0.8712658601543555,85,0.9389197284175004
86,0.8720349902351802,86,0.9560178872844033
87,0.8840681680502157,87,0.9509824228062144
88,0.8887831826684545,88,0.9365632947899457
89,0.8808746962617641,89,0.9198043359792125
