x_fibrinogen_before_hydrolysis_RandomForest,y_fibrinogen_before_hydrolysis_RandomForest,x_fibrinogen_after_hydrolysis_RandomForest,y_fibrinogen_after_hydrolysis_RandomForest,x_fibrinogen_before_hydrolysis_SVM,y_fibrinogen_before_hydrolysis_SVM,x_fibrinogen_after_hydrolysis_SVM,y_fibrinogen_after_hydrolysis_SVM,x_fibrinogen_before_hydrolysis_LDA,y_fibrinogen_before_hydrolysis_LDA,x_fibrinogen_after_hydrolysis_LDA,y_fibrinogen_after_hydrolysis_LDA
2,0.3653052151534982,2,0.4282129823084191,2,0.3273178983401064,2,0.4545154612795397,2,0.3662499857772031,2,0.4869539888156618
3,0.4334197954282474,3,0.553875137043765,3,0.4746267875963859,3,0.4443482978963915,3,0.4635422192776255,3,0.5131802541871537
4,0.4585080236837575,4,0.8440748214511773,4,0.5031182414179819,4,0.8867866413817204,4,0.4923820083337314,4,0.7983528603321591
5,0.5219862187637123,5,0.8596625849319773,5,0.4927311984243568,5,0.8628571117448277,5,0.5162559573810881,5,0.8402408500463067
6,0.7402685354522395,6,0.9135102849833884,6,0.7006162921670428,6,0.8898871437061036,6,0.7369693897706452,6,0.8982987111367357
7,0.7300983305754791,7,0.9092811419851256,7,0.7966335724218417,7,0.9437096196098966,7,0.7952438876491841,7,0.9001843750552581
8,0.7396256701700872,8,0.9751004461775196,8,0.7869280342061264,8,0.9452743884522616,8,0.749621704242465,8,0.9541809224879128
9,0.8330343291615263,9,0.9558610774677256,9,0.8095241381114311,9,0.9631805457290222,9,0.845234191290011,9,0.9718912715299564
10,0.8856442349566734,10,0.9789165897199138,10,0.8747897989118385,10,0.9737598914884232,10,0.9171961355683044,10,0.96846941916194
11,0.9468372762433732,11,0.9912060853889108,11,0.9005523672929501,11,0.9701675773697934,11,0.9486563454951918,11,0.9789165897199138
12,0.944468013130651,12,0.9894473024666932,12,0.9106540553561828,12,0.9611831279421308,12,0.9663405642817762,12,0.9947236512333464
13,0.9472337142697254,13,0.9894473024666932,13,0.9354288322676786,13,0.985821780637262,13,0.9859385305368684,13,1.0
14,0.9789077958053028,14,0.9912820328332794,14,0.9483012624828836,14,0.9912060853889108,14,0.9964824341555644,14,0.9964824341555644
15,0.9734471234396846,15,0.9929648683111288,15,0.9737144719383598,15,0.9947236512333464,15,0.9876885195444752,15,0.9964824341555644
16,0.970020079438362,16,0.9946970030072524,16,0.96117726533239,16,0.9699758433830457,16,0.9929692652684342,16,0.9929648683111288
17,0.96296775964366,17,0.9912060853889108,17,0.9700733295458094,17,0.9894516994239986,17,0.9964824341555644,17,0.9964824341555644
18,0.9718416189330316,18,0.9894473024666932,18,0.9540064791788124,18,0.9911794371628166,18,0.9947236512333464,18,0.9894473024666932
19,0.9753325365513732,19,0.9894473024666932,19,0.949833904537378,19,0.998241217077782,19,0.9875859238740126,19,0.9912060853889108
20,0.9648411299380828,20,0.9894473024666932,20,0.9460876302924888,20,0.9894206542405988,20,0.9894473024666932,20,0.9929648683111288
21,0.9737069484148853,21,0.9929648683111288,21,0.9565562480720716,21,0.998241217077782,21,0.9912060853889108,21,0.9929648683111288
22,0.9701365321863936,22,0.9911034897184482,22,0.9536160042893966,22,0.9946970030072524,22,0.9859074853534688,22,0.9964824341555644
23,0.9468174689781338,23,0.9877808556478916,23,0.9716044190514792,23,0.9878404144332122,23,0.9876973134590864,23,0.9929648683111288
24,0.95719257175995,24,0.9842596459481924,24,0.9583736923614076,24,0.998241217077782,24,0.9735916079406384,24,0.9947236512333464
25,0.9682795505510188,25,0.979009945407633,25,0.942816294738704,25,1.0,25,0.969962386028868,25,0.9947236512333464
26,0.9525113647783696,26,0.97897494933506,26,0.9605346903864096,26,0.9947236512333464,26,0.971582880333084,26,0.9964824341555644
27,0.9577063188897325,27,0.9824881182221904,27,0.9700397991256716,27,0.9947236512333464,27,0.9557687413643092,27,0.9964824341555644
28,0.9579856072930866,28,0.9841841445719562,28,0.960711352449987,28,0.9964824341555644,28,0.9841443054739454,28,0.998241217077782
29,0.93670428758951,29,0.9876929165017808,29,0.9644392903640092,29,1.0,29,0.9682258543754388,29,0.9964824341555644
30,0.9560293610155106,30,0.9824121707778216,30,0.978684053277928,30,0.9947995986777152,30,0.9665178363239304,30,1.0
31,0.9559523012973572,31,0.9877644669888436,31,0.953347914615635,31,0.9894206542405988,31,0.9681948091920392,31,0.9964824341555644
32,0.957721789854754,32,0.9841709537000396,32,0.957000837773202,32,0.9964557859294702,32,0.9806000914034156,32,0.9964824341555644
33,0.941952773966008,33,0.9858004927257004,33,0.9698199512603944,33,0.9964824341555644,33,0.9679567894174946,33,0.9964824341555644
34,0.9525794816653542,34,0.9824925151794958,34,0.9414489487000486,34,0.998241217077782,34,0.9519795125302702,34,0.9929382200850344
35,0.9383286765558234,35,0.979009945407633,35,0.9538288994212084,35,0.9947236512333464,35,0.959438202097482,35,0.998241217077782
36,0.9472403763262488,36,0.9788767506219028,36,0.9464846222407274,36,0.9964824341555644,36,0.9770771652444472,36,0.9964824341555644
37,0.9243812615003753,37,0.9755497195940408,37,0.9572687856865794,37,0.9929648683111288,37,0.967860123147723,37,0.9947236512333464
38,0.9364107887299364,38,0.968407385022216,38,0.9516123665952572,38,0.9947236512333464,38,0.9701267749145552,38,0.9947236512333464
39,0.9343664032741688,39,0.9772281581145849,39,0.9499066541946152,39,1.0,39,0.95545974018886,39,0.998241217077782
40,0.9262434088705246,40,0.9771895181867482,40,0.9489434644559298,40,0.9838130530297076,40,0.9628105044403902,40,0.998241217077782
41,0.933602213934624,41,0.971810573749632,41,0.9627656021794214,41,0.9912060853889108,41,0.9522971437098862,41,0.9911794371628166
42,0.9422098267760006,42,0.966828554640189,42,0.96806606759069,42,0.998241217077782,42,0.95714527575903,42,0.9947236512333464
43,0.929744836862746,43,0.9807786345182468,43,0.9714993381442788,43,0.9964824341555644,43,0.9360016868327118,43,0.9912060853889108
44,0.9204695735035584,44,0.97897494933506,44,0.9557132823847192,44,0.9964824341555644,44,0.9424463814092652,44,0.9947236512333464
45,0.9295008723528536,45,0.9597667747252236,45,0.9629087031535474,45,0.9947236512333464,45,0.9517061886269332,45,0.9912060853889108
46,0.9142045930643956,46,0.964901042102054,46,0.964403848223304,46,0.9947236512333464,46,0.946568826034788,46,0.9894206542405988
47,0.9244730803146968,47,0.9596277735568284,47,0.9554118040512044,47,0.9929382200850344,47,0.91479687957042,47,0.9947236512333464
48,0.9401468850222312,48,0.9702829178440404,48,0.9610115290415112,48,0.9964824341555644,48,0.9334197807580922,48,0.9929648683111288
49,0.915980730933512,49,0.97174781717718,49,0.9662713402325592,49,0.9946970030072524,49,0.9432832636678165,49,0.9911034897184482
50,0.9239542236772154,50,0.9682160971036006,50,0.9654794065797176,50,0.9964824341555644,50,0.9211004344754724,50,0.9876885195444752
51,0.9133771789682836,51,0.980653387855604,51,0.9538340801498696,51,0.998241217077782,51,0.9349790200935428,51,0.9947236512333464
52,0.900024470704806,52,0.977157806797696,52,0.957328000975584,52,0.9912060853889108,52,0.9368219858524568,52,0.9894473024666932
53,0.926502336938678,53,0.9720568190341696,53,0.9662646168374076,53,0.9947236512333464,53,0.9269227544496584,53,0.9841443054739454
54,0.9145723166388978,54,0.963220384827033,54,0.9752402004479568,54,0.9929648683111288,54,0.9282208248124182,54,0.9876929165017808
55,0.9244945570129238,55,0.9580495630357126,55,0.950054577918355,55,0.9894473024666932,55,0.9240967499424756,55,0.9929648683111288
56,0.929835809885544,56,0.9631582944602336,56,0.9753357343385044,56,0.998241217077782,56,0.9287364419184244,56,0.9876885195444752
57,0.9108103204517682,57,0.9668095011585316,57,0.9589549058479496,57,1.0,57,0.9180586014869868,57,0.9859341335795628
58,0.9299012469560324,58,0.9538523498601712,58,0.9699181499735516,58,0.9964824341555644,58,0.9080164297831902,58,0.9804974957329528
59,0.9293975554423586,59,0.9414449097217904,59,0.9572530168884428,59,0.9964824341555644,59,0.9122398170031556,59,0.9859297366222574
60,0.8976972449983623,60,0.9616878858960036,60,0.957422766088663,60,0.998241217077782,60,0.9263084148667672,60,0.9840683580295768
61,0.926545051114484,61,0.961343832420906,61,0.9709044478475796,61,0.9893126982556034,61,0.9118288456408626,61,0.9841709537000396
62,0.8992079174306009,62,0.96290016004577,62,0.9712468775528904,62,0.9947236512333464,62,0.879699096647967,62,0.9876885195444752
63,0.8930962256641848,63,0.9542039268587432,63,0.9716004681623062,63,0.9928569123261332,63,0.8823515552642517,63,0.9769799298885172
64,0.898775315341971,64,0.9562126544662978,64,0.9675853133161264,64,0.9893393464816976,64,0.9026878255319783,64,0.9842202529183138
65,0.905404789808726,65,0.959721073017472,65,0.953535768934172,65,0.998241217077782,65,0.8963065597821993,65,0.9822829268812648
66,0.913894308071466,66,0.9508652268384754,66,0.9624491701699798,66,0.9876885195444752,66,0.9122944974933272,66,0.9823855225517276
67,0.9118637335189114,67,0.9562364177322626,67,0.974818558890581,67,0.9894206542405988,67,0.8770372044914911,67,0.9841753506573452
68,0.913754210304713,68,0.9368902325728704,68,0.9391810292682408,68,1.0,68,0.9012274687501928,68,0.9659045476761964
69,0.8995134909694495,69,0.9542084877264932,69,0.952010024749148,69,0.9947236512333464,69,0.8866907946759666,69,0.9841443054739454
70,0.905345157417052,70,0.95044345374382,70,0.9662090859553152,70,0.9875805635594798,70,0.879491702909532,70,0.95737386659378
71,0.9083567864132648,71,0.952271914791486,71,0.969711995275399,71,0.9928569123261332,71,0.8821789681301835,71,0.9876885195444752
72,0.8881651792952457,72,0.963158647838884,72,0.969611311325504,72,0.9928569123261332,72,0.8724021492046515,72,0.9785420645775867
73,0.9143737866729555,73,0.9478276105398832,73,0.9682543679773596,73,0.9876885195444752,73,0.8807896792197294,73,0.9712036917511904
74,0.8803239544424517,74,0.9594900328972352,74,0.9442026366688608,74,0.9930408157554972,74,0.8525204583151392,74,0.9480085121249548
75,0.887652125632728,75,0.9614171555943134,75,0.960812036399882,75,0.9964824341555644,75,0.846297061240101,75,0.9627513760477748
76,0.8876893365409211,76,0.9474840859400656,76,0.9682102188184328,76,0.9964824341555644,76,0.8548757052106303,76,0.9412699595170848
77,0.884063806021851,77,0.9419125756962542,77,0.9771584730033483,77,1.0,77,0.8614046608306302,77,0.9504381327882402
78,0.88501059372626,78,0.9578787479064488,78,0.9715562321069898,78,0.9929648683111288,78,0.8368151962627028,78,0.9366687997856038
79,0.8840852181441338,79,0.9442635898856544,79,0.9769745695739844,79,0.9947236512333464,79,0.8449366307057716,79,0.943158416728565
80,0.9047193747723676,80,0.9297660320848254,80,0.973676349299618,80,0.9841530993885564,80,0.8430448680237913,80,0.9424509312019852
81,0.8697493988550375,81,0.9354604509672488,81,0.9734218587404184,81,0.9893393464816976,81,0.8657101245017732,81,0.9335955166083894
82,0.8800220925721277,82,0.9328698540609898,82,0.9681112670032338,82,0.9928569123261332,82,0.8187515847729023,82,0.9423757942794294
83,0.8918157516499009,83,0.9479601449130536,83,0.9753058883252788,83,0.998241217077782,83,0.8054822826116689,83,0.9194869203367196
84,0.8838959150412842,84,0.929490997515312,84,0.9672928490347424,84,0.9946970030072524,84,0.7988784502471263,84,0.9204095020295402
85,0.8712658601543555,85,0.9389197284175004,85,0.9841709537000396,85,0.9947236512333464,85,0.8463943192572462,85,0.8886010593371859
86,0.8720349902351802,86,0.9560178872844032,86,0.9697139069959666,86,0.9894473024666932,86,0.802704988335625,86,0.9179449551515636
87,0.8840681680502157,87,0.9509824228062144,87,0.956255660682126,87,0.9964824341555644,87,0.7988471951833883,87,0.8733275565635945
88,0.8887831826684545,88,0.9365632947899456,88,0.966329033642053,88,0.9929648683111288,88,0.7809760060185728,88,0.8820767355503206
89,0.8808746962617641,89,0.9198043359792124,89,0.9679094223659972,89,0.9947236512333464,89,0.7506162414710645,89,0.859557223996902
90,0.8652310670921946,90,0.928219088077325,90,0.9823139720646646,90,0.9947236512333464,90,0.7189617880092265,90,0.8265257946714331
91,0.871058088213475,91,0.9400459751417236,91,0.9513553444545786,91,0.9947236512333464,91,0.7156916055748984,91,0.8101925394310854
92,0.8925686497407562,92,0.914439884156004,92,0.964761984706583,92,0.9875805635594798,92,0.6621113424646875,92,0.722870413005304
