iter	Logloss
0	0.6871849194
1	0.6809032507
2	0.6735481128
3	0.6680230258
4	0.6620001542
5	0.6564867789
6	0.6505950125
7	0.6438838223
8	0.6382960269
9	0.6333062691
10	0.6280903063
11	0.6211764018
12	0.6155142533
13	0.6095135337
14	0.6029754103
15	0.5957780135
16	0.5908715767
17	0.585811615
18	0.5808881124
19	0.5753875197
20	0.5693808438
21	0.5652089705
22	0.5606617844
23	0.5561646579
24	0.5515162819
25	0.5463720623
26	0.5419104392
27	0.5359690482
28	0.5307391652
29	0.5260439421
30	0.5220308806
31	0.5172997525
32	0.5132727037
33	0.5076491373
34	0.5035298665
35	0.4997051975
36	0.4943630152
37	0.490283163
38	0.4863996004
39	0.4812989486
40	0.4764711146
41	0.4729480409
42	0.4684354548
43	0.4650619908
44	0.4614914007
45	0.4577903078
46	0.4539589798
47	0.4502710376
48	0.4471338172
49	0.4438649228
50	0.4403121681
51	0.4368504307
52	0.4334193782
53	0.4299428839
54	0.426611549
55	0.4231360586
56	0.4183551052
57	0.4138576775
58	0.4094340007
59	0.4049632424
60	0.4017977798
61	0.3986796998
62	0.3956666244
63	0.3926660303
64	0.3888701054
65	0.3858860083
66	0.3838705096
67	0.3812188935
68	0.3783522154
69	0.3756553918
70	0.3728200009
71	0.3702235975
72	0.3670480962
73	0.36356588
74	0.3611015186
75	0.3583653433
76	0.3553251635
77	0.3531057458
78	0.3494836238
79	0.3471159015
80	0.3443262201
81	0.3410853336
82	0.3386057804
83	0.3361898723
84	0.3332393379
85	0.3299897846
86	0.3277106034
87	0.3254654198
88	0.3230442248
89	0.3200134143
90	0.3170492942
91	0.3140349806
92	0.3119052084
93	0.3097490679
94	0.3080734788
95	0.3059992874
96	0.3031379967
97	0.3006466648
98	0.2986540209
99	0.2965384366
100	0.2943237037
101	0.2925602093
102	0.2905835603
103	0.2888980665
104	0.2861505475
105	0.2844158641
106	0.2821077046
107	0.280098982
108	0.2785351235
109	0.2768088893
110	0.2751298369
111	0.2732682814
112	0.2707295
113	0.2690319597
114	0.2668124416
115	0.2651038923
116	0.2631689707
117	0.2609554759
118	0.2588763321
119	0.2572828929
120	0.2556437442
121	0.2540388609
122	0.2524664862
123	0.2509035646
124	0.2489621681
125	0.2474824671
126	0.2454786133
127	0.2441761954
128	0.2427435591
129	0.2408873575
130	0.2395677232
131	0.2383609906
132	0.2364372622
133	0.2347259856
134	0.2329896291
135	0.2317408512
136	0.2303693002
137	0.2288329643
138	0.227542208
139	0.2258096996
140	0.2245369292
141	0.2232611639
142	0.2220369975
143	0.2208013869
144	0.2193367941
145	0.2180013824
146	0.2167602673
147	0.2155514935
148	0.2143670132
149	0.2127579137
150	0.211179566
151	0.21007061
152	0.2086704656
153	0.2075432225
154	0.206382718
155	0.2052406177
156	0.2040292171
157	0.2025044424
158	0.2014797278
159	0.2003488708
160	0.1992603101
161	0.1978300663
162	0.1965290873
163	0.1955436907
164	0.1940381234
165	0.192732744
166	0.1912711127
167	0.1903038025
168	0.1890509421
169	0.1880819086
170	0.1870953075
171	0.1858887254
172	0.1849650667
173	0.1840278893
174	0.1829055318
175	0.1819555718
176	0.1810048589
177	0.1796980908
178	0.1787369377
179	0.1777998272
180	0.1768825096
181	0.1756918556
182	0.1748224225
183	0.1735257935
184	0.1726906425
185	0.1715848822
186	0.1707369654
187	0.1698950048
188	0.1685862625
189	0.1675341757
190	0.1667470932
191	0.1657890521
192	0.1650389287
193	0.1642687948
194	0.163340602
195	0.1626074105
196	0.161865318
197	0.1610906835
198	0.1603112137
199	0.1595538959
200	0.1589707492
201	0.1580648422
202	0.157336302
