iter	Passed	Remaining
0	34	34148
1	70	34967
2	106	35530
3	144	35860
4	180	36014
5	220	36571
6	259	36785
7	296	36806
8	334	36822
9	371	36818
10	409	36813
11	447	36817
12	484	36790
13	521	36748
14	559	36746
15	597	36772
16	635	36749
17	673	36750
18	711	36732
19	749	36735
20	788	36747
21	826	36723
22	867	36867
23	909	36986
24	948	36997
25	987	36979
26	1024	36935
27	1062	36889
28	1100	36846
29	1138	36806
30	1175	36756
31	1213	36707
32	1250	36655
33	1288	36621
34	1326	36570
35	1364	36549
36	1402	36508
37	1441	36483
38	1479	36456
39	1516	36403
40	1555	36376
41	1593	36340
42	1631	36305
43	1668	36259
44	1706	36213
45	1745	36195
46	1782	36148
47	1820	36101
48	1857	36053
49	1895	36009
50	1932	35967
51	1970	35928
52	2008	35893
53	2047	35864
54	2085	35833
55	2124	35815
56	2163	35791
57	2201	35757
58	2239	35711
59	2276	35670
60	2314	35634
61	2352	35592
62	2391	35564
63	2428	35523
64	2467	35490
65	2505	35450
66	2542	35403
67	2580	35362
68	2617	35322
69	2655	35282
70	2693	35245
71	2731	35207
72	2769	35173
73	2807	35128
74	2845	35088
75	2883	35053
76	2921	35014
77	2959	34980
78	2997	34940
79	3035	34910
80	3073	34871
81	3110	34827
82	3148	34789
83	3187	34755
84	3225	34720
85	3264	34690
86	3301	34649
87	3340	34619
88	3379	34588
89	3416	34549
90	3454	34506
91	3492	34468
92	3531	34438
93	3568	34398
94	3607	34362
95	3645	34325
96	3683	34289
97	3721	34254
98	3759	34216
99	3797	34176
100	3835	34139
101	3873	34102
102	3911	34068
103	3949	34028
104	3988	33996
105	4026	33960
106	4064	33920
107	4102	33884
108	4140	33849
109	4180	33822
110	4218	33784
111	4256	33747
112	4294	33713
113	4333	33678
114	4372	33647
115	4410	33610
116	4449	33577
117	4487	33543
118	4525	33507
119	4564	33470
120	4602	33436
121	4640	33397
122	4678	33360
123	4716	33322
124	4754	33284
125	4793	33248
126	4831	33214
127	4870	33177
128	4908	33145
129	4947	33112
130	4986	33078
131	5024	33042
132	5063	33005
133	5100	32963
134	5138	32926
135	5179	32906
136	5219	32876
137	5257	32839
138	5296	32804
139	5333	32762
140	5372	32729
141	5410	32692
142	5450	32662
143	5488	32625
144	5526	32589
145	5565	32552
146	5603	32516
147	5642	32480
148	5680	32444
149	5718	32405
150	5756	32366
151	5794	32329
152	5833	32291
153	5871	32253
154	5909	32215
155	5947	32176
156	5985	32140
157	6024	32103
158	6063	32070
159	6101	32033
160	6140	31996
161	6178	31961
162	6216	31924
163	6255	31886
164	6294	31855
165	6333	31820
166	6372	31786
167	6411	31750
168	6449	31712
169	6487	31674
170	6526	31642
171	6565	31607
172	6604	31571
173	6643	31535
174	6681	31499
175	6719	31461
176	6758	31426
177	6798	31395
178	6837	31361
179	6877	31329
180	6916	31294
181	6954	31258
182	6994	31226
183	7033	31190
184	7072	31155
185	7111	31123
186	7150	31087
187	7189	31053
188	7228	31017
189	7266	30979
190	7305	30942
191	7344	30906
192	7383	30874
193	7422	30837
194	7461	30802
195	7501	30771
196	7540	30734
197	7579	30700
198	7618	30664
199	7657	30631
200	7697	30598
201	7736	30564
202	7776	30531
203	7815	30496
204	7854	30459
205	7892	30421
206	7931	30386
207	7970	30348
208	8010	30316
209	8049	30280
210	8089	30247
211	8128	30214
212	8167	30177
213	8206	30141
214	8245	30104
215	8284	30070
216	8323	30033
217	8361	29993
218	8400	29956
219	8439	29921
220	8478	29884
221	8517	29848
222	8556	29813
223	8595	29776
224	8636	29746
225	8675	29713
226	8716	29683
227	8756	29648
228	8797	29618
229	8837	29586
230	8877	29552
231	8918	29522
232	8959	29493
233	8999	29460
234	9038	29424
235	9077	29387
236	9117	29352
237	9156	29315
238	9195	29278
239	9235	29246
240	9274	29209
241	9312	29169
242	9351	29133
243	9390	29095
244	9429	29057
245	9468	29020
246	9507	28985
247	9546	28948
248	9585	28910
249	9624	28873
250	9663	28837
251	9703	28801
252	9742	28766
253	9782	28731
254	9821	28695
255	9860	28658
256	9900	28623
257	9940	28588
258	9979	28551
259	10019	28515
260	10058	28479
261	10097	28442
262	10136	28405
263	10175	28367
264	10214	28330
265	10253	28292
266	10292	28254
267	10332	28220
268	10371	28184
269	10411	28149
270	10451	28114
271	10490	28077
272	10529	28040
273	10569	28004
274	10608	27967
275	10647	27931
276	10687	27894
277	10729	27866
278	10768	27828
279	10807	27791
280	10847	27755
281	10886	27718
282	10925	27681
283	10965	27644
284	11004	27607
285	11043	27570
286	11082	27532
287	11121	27496
288	11162	27461
289	11201	27424
290	11241	27389
291	11281	27354
292	11321	27318
293	11360	27281
294	11399	27243
295	11439	27206
296	11478	27169
297	11517	27132
298	11557	27095
299	11599	27064
300	11641	27033
301	11682	27000
302	11721	26963
303	11761	26928
304	11801	26891
305	11841	26856
306	11881	26820
307	11920	26783
308	11960	26745
309	12000	26709
310	12039	26672
311	12078	26635
312	12117	26597
313	12157	26559
314	12196	26522
315	12236	26485
316	12275	26448
317	12314	26410
318	12354	26375
319	12396	26342
320	12436	26306
321	12475	26269
322	12515	26232
323	12554	26193
324	12593	26156
325	12632	26118
326	12672	26082
327	12712	26045
328	12752	26008
329	12791	25970
330	12830	25933
331	12870	25895
332	12910	25859
333	12949	25821
334	12988	25783
335	13028	25747
336	13068	25710
337	13107	25672
338	13147	25635
339	13186	25597
340	13226	25560
341	13266	25523
342	13305	25485
343	13344	25447
344	13384	25410
345	13423	25372
346	13462	25334
347	13502	25297
348	13541	25259
349	13581	25223
350	13621	25186
351	13661	25149
352	13700	25111
353	13741	25075
354	13780	25038
355	13820	25000
356	13859	24962
357	13899	24925
358	13938	24887
359	13978	24850
360	14017	24812
361	14057	24774
362	14096	24736
363	14136	24699
364	14175	24661
365	14215	24624
366	14256	24589
367	14297	24553
368	14336	24515
369	14375	24476
370	14415	24440
371	14455	24402
372	14494	24365
373	14534	24328
374	14574	24290
375	14614	24253
376	14653	24215
377	14693	24178
378	14733	24141
379	14773	24103
380	14812	24066
381	14852	24027
382	14892	23990
383	14932	23953
384	14971	23915
385	15011	23878
386	15051	23841
387	15091	23804
388	15131	23767
389	15174	23735
390	15216	23700
391	15255	23662
392	15295	23623
393	15334	23585
394	15374	23547
395	15416	23513
396	15456	23477
397	15496	23439
398	15537	23403
399	15576	23365
400	15616	23327
401	15656	23290
402	15695	23251
403	15735	23213
404	15774	23174
405	15813	23136
406	15853	23097
407	15892	23060
408	15932	23021
409	15971	22983
410	16011	22945
411	16051	22907
412	16090	22869
413	16130	22831
414	16169	22793
415	16209	22755
416	16248	22716
417	16288	22678
418	16327	22640
419	16367	22602
420	16407	22564
421	16446	22526
422	16486	22488
423	16526	22450
424	16566	22413
425	16608	22378
426	16649	22342
427	16689	22304
428	16729	22267
429	16769	22229
430	16809	22191
431	16848	22153
432	16888	22115
433	16928	22077
434	16968	22038
435	17007	22000
436	17046	21961
437	17084	21921
438	17124	21883
439	17164	21845
440	17203	21807
441	17243	21768
442	17283	21731
443	17323	21693
444	17363	21655
445	17403	21617
446	17442	21578
447	17482	21540
448	17522	21503
449	17562	21464
450	17602	21427
451	17642	21389
452	17682	21352
453	17723	21314
454	17763	21277
455	17803	21239
456	17843	21201
457	17883	21163
458	17924	21126
459	17964	21088
460	18004	21050
461	18044	21013
462	18085	20975
463	18126	20939
464	18166	20901
465	18207	20864
466	18247	20826
467	18288	20789
468	18329	20752
469	18370	20715
470	18410	20677
471	18449	20638
472	18489	20600
473	18529	20562
474	18570	20524
475	18609	20486
476	18650	20448
477	18690	20411
478	18731	20374
479	18772	20336
480	18812	20298
481	18853	20261
482	18893	20223
483	18933	20185
484	18973	20146
485	19013	20108
486	19053	20070
487	19093	20032
488	19133	19994
489	19174	19956
490	19214	19918
491	19254	19880
492	19295	19843
493	19335	19805
494	19376	19768
495	19416	19729
496	19456	19691
497	19497	19653
498	19537	19616
499	19578	19578
500	19618	19540
501	19659	19502
502	19699	19464
503	19739	19426
504	19779	19388
505	19820	19350
506	19860	19312
507	19901	19274
508	19941	19235
